,cod_new,dsg_new,cod_old,dsg_old,Designação antiga,Observações (até 2013),Observações (após 2013),Concelho,Unnamed: 8,Unnamed: 9
25,010209,ALBERGARIA-A-VELHA E VALMAIOR,010208,VALMAIOR,,,,ALBERGARIA-A-VELHA,,
26,010210,SÃO JOÃO DE LOURE E FROSSOS,010205,FROSSOS,,,,ALBERGARIA-A-VELHA,,
27,010210,SÃO JOÃO DE LOURE E FROSSOS,010207,SÃO JOÃO DE LOURE,,,,ALBERGARIA-A-VELHA,,
28,010304,AVELÃS DE CAMINHO,010304,AVELÃS DE CAMINHO,,,,ANADIA,,
29,010305,AVELÃS DE CIMA,010305,AVELÃS DE CIMA,,,,ANADIA,,
30,010307,MOITA,010307,MOITA,,,,ANADIA,,
31,010309,SANGALHOS,010309,SANGALHOS,,,,ANADIA,,
32,010310,SÃO LOURENÇO DO BAIRRO,010310,SÃO LOURENÇO DO BAIRRO,,"EM 1985 DEU ORIGEM À FREG. DE PAREDES DO BAIRRO (L. 131/85, DE 4 OUT.)",,ANADIA,,
33,010312,VILA NOVA DE MONSARROS,010312,VILA NOVA DE MONSARROS,,"EM 1989, JUNTAMENTE COM TAMENGOS, DEU ORIGEM À FREG. DE AGUIM",,ANADIA,,
34,010313,VILARINHO DO BAIRRO,010313,VILARINHO DO BAIRRO,,,,ANADIA,,
35,010316,"UNIÃO DAS FREGUESIAS DE AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS",010301,AMOREIRA DA GÂNDARA,,"FREG. (DEC. L. 15224, DE 21 MAR. 1928)",,ANADIA,,
36,010316,"UNIÃO DAS FREGUESIAS DE AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS",010302,ANCAS,,,,ANADIA,,
