CONSULADO,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
815001,EUROPA,CHIPRE,NICÓSIA,8.0,5.0,5.0,15,25.0,33,162,198,229,258.0
910101,ÁFRICA,ÁFRICA DO SUL,CAPE TOWN,1287.0,1266.0,1207.0,1202,1170.0,1128,5654,5512,5397,4958.0
910103,ÁFRICA,ÁFRICA DO SUL,JOANESBURGO,4723.0,5076.0,6364.0,6584,6513.0,6246,23490,25635,26688,26571.0
910104,ÁFRICA,ÁFRICA DO SUL,PRETÓRIA,740.0,711.0,690.0,729,689.0,661,3391,3243,3175,2866.0
910201,ÁFRICA,ANGOLA,LUANDA,508.0,461.0,430.0,547,508.0,451,17166,16354,15848,15062.0
910202,ÁFRICA,ANGOLA,BENGUELA,267.0,243.0,223.0,215,201.0,188,2922,2944,3061,3092.0
910301,ÁFRICA,ARGÉLIA,ARGEL,1.0,,,8,6.0,4,53,40,33,24.0
910401,ÁFRICA,CABO VERDE,PRAIA,541.0,552.0,521.0,650,637.0,597,2733,3519,4023,4754.0
910501,ÁFRICA,EGITO,CAIRO,7.0,4.0,5.0,8,10.0,9,38,39,38,38.0
910601,ÁFRICA,MARROCOS,RABAT,21.0,21.0,20.0,30,27.0,25,144,185,266,380.0
910701,ÁFRICA,MOÇAMBIQUE,MAPUTO,1398.0,1369.0,1378.0,1754,1730.0,1593,8327,8566,8770,8856.0
910702,ÁFRICA,MOÇAMBIQUE,BEIRA,387.0,385.0,418.0,490,496.0,461,945,1039,1087,1140.0
910801,ÁFRICA,NIGÉRIA,ABUJA,1.0,1.0,1.0,3,3.0,2,104,101,86,85.0
910901,ÁFRICA,SÃO TOMÉ E PRÍNCIPE,SÃO TOMÉ,202.0,213.0,188.0,200,170.0,143,580,630,682,711.0
911001,ÁFRICA,SENEGAL,DACAR,21.0,19.0,16.0,27,24.0,18,246,305,329,364.0
911101,ÁFRICA,TUNÍSIA,TUNES,1.0,1.0,1.0,8,6.0,5,53,63,69,125.0
911201,ÁFRICA,CONGO (República Democrática do),KINSHASA,103.0,105.0,101.0,94,86.0,80,152,139,132,164.0
911401,ÁFRICA,ZIMBABUÉ,HARARE,346.0,335.0,328.0,291,281.0,274,389,434,438,415.0
911501,ÁFRICA,GUINÉ-BISSAU,BISSAU,155.0,135.0,125.0,159,131.0,114,159,173,184,167.0
913201,ÁFRICA,LÍBIA,TRIPOLI,14.0,11.0,7.0,3,3.0,3,6,6,3,4.0
914601,ÁFRICA,NAMÍBIA,WINDHOEK,259.0,251.0,245.0,267,258.0,246,406,463,508,502.0
920101,AMÉRICA,ARGENTINA,BUENOS AIRES,1268.0,1288.0,1337.0,1448,1452.0,1453,5187,5993,6185,6397.0
920301,AMÉRICA,BRASIL,BELÉM DO PARÁ,3492.0,3427.0,3535.0,3981,4113.0,4139,6968,7471,7871,7621.0
920302,AMÉRICA,BRASIL,BELO HORIZONTE,652.0,643.0,633.0,641,625.0,622,4594,4774,5106,5616.0
920303,AMÉRICA,BRASIL,BRASÍLIA,163.0,161.0,149.0,150,165.0,173,4661,5011,5247,5783.0
920304,AMÉRICA,BRASIL,CURITIBA,4250.0,4960.0,5680.0,6673,7281.0,7855,8338,8866,9167,8409.0
920305,AMÉRICA,BRASIL,PORTO ALEGRE,355.0,353.0,352.0,475,500.0,649,1692,2164,2431,2835.0
