MAI_code,ISO_code,Continente,Pais,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21,N_Consulados
9109,STP,ÁFRICA,SÃO TOMÉ E PRÍNCIPE,202.0,213.0,188.0,200.0,170.0,143.0,580.0,630.0,682.0,711.0,1
9110,SEN,ÁFRICA,SENEGAL,21.0,19.0,16.0,27.0,24.0,18.0,246.0,305.0,329.0,364.0,1
9111,TUN,ÁFRICA,TUNÍSIA,1.0,1.0,1.0,8.0,6.0,5.0,53.0,63.0,69.0,125.0,1
9112,COG,ÁFRICA,CONGO (República Democrática do),103.0,105.0,101.0,94.0,86.0,80.0,152.0,139.0,132.0,164.0,1
9114,ZWE,ÁFRICA,ZIMBABUÉ,346.0,335.0,328.0,291.0,281.0,274.0,389.0,434.0,438.0,415.0,1
9115,GNB,ÁFRICA,GUINÉ-BISSAU,155.0,135.0,125.0,159.0,131.0,114.0,159.0,173.0,184.0,167.0,1
9129,GNQ,ÁFRICA,GUINÉ EQUATORIAL,0.0,0.0,0.0,5.0,5.0,3.0,28.0,22.0,16.0,11.0,1
9132,LBY,ÁFRICA,LÍBIA,14.0,11.0,7.0,3.0,3.0,3.0,6.0,6.0,3.0,4.0,1
9146,NAM,ÁFRICA,NAMÍBIA,259.0,251.0,245.0,267.0,258.0,246.0,406.0,463.0,508.0,502.0,1
9153,ETH,ÁFRICA,ETIÓPIA,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,19.0,20.0,1
9201,ARG,AMÉRICA,ARGENTINA,1268.0,1288.0,1337.0,1448.0,1452.0,1453.0,5187.0,5993.0,6185.0,6397.0,1
9203,BRA,AMÉRICA,BRASIL,87692.0,94431.0,101084.0,113380.0,123804.0,127194.0,220912.0,235465.0,250400.0,247671.0,10
9204,CAN,AMÉRICA,CANADÁ,10581.0,11719.0,12720.0,13846.0,14319.0,14116.0,54711.0,57783.0,59326.0,56703.0,4
9205,COL,AMÉRICA,COLÔMBIA,171.0,208.0,237.0,277.0,277.0,272.0,429.0,593.0,667.0,840.0,1
9206,CUB,AMÉRICA,CUBA,1.0,1.0,1.0,24.0,19.0,17.0,14.0,28.0,28.0,26.0,1
9207,USA,AMÉRICA,ESTADOS UNIDOS DA AMÉRICA,11421.0,11290.0,11351.0,12717.0,13247.0,14216.0,55969.0,60080.0,62701.0,63219.0,7
9208,MEX,AMÉRICA,MÉXICO,24.0,23.0,23.0,70.0,68.0,59.0,489.0,678.0,817.0,1054.0,1
9209,PER,AMÉRICA,PERU,20.0,19.0,17.0,33.0,49.0,51.0,142.0,279.0,322.0,364.0,1
9210,URY,AMÉRICA,URUGUAI,617.0,621.0,624.0,649.0,653.0,649.0,1135.0,1329.0,1353.0,1304.0,1
9211,VEN,AMÉRICA,VENEZUELA (República Bolivariana da),13788.0,15370.0,16483.0,19851.0,20028.0,19274.0,55005.0,52367.0,52742.0,53686.0,2
9216,CHL,AMÉRICA,CHILE,22.0,24.0,30.0,78.0,80.0,70.0,435.0,807.0,967.0,1320.0,1
9228,PAN,AMÉRICA,PANAMÁ,0.0,0.0,0.0,0.0,45.0,42.0,556.0,929.0,1145.0,1497.0,1
9243,ABW,AMÉRICA,ARUBA,0.0,0.0,0.0,0.0,0.0,24.0,61.0,0.0,0.0,0.0,1
9244,NLD,AMÉRICA,CURAÇAU,0.0,0.0,0.0,0.0,0.0,164.0,224.0,0.0,0.0,0.0,1
9301,SAU,ÁSIA E OCEÂNIA,ARÁBIA SAUDITA,22.0,20.0,23.0,49.0,49.0,44.0,278.0,284.0,267.0,328.0,1
9302,CHN,ÁSIA E OCEÂNIA,CHINA,11071.0,11027.0,11030.0,16060.0,16238.0,16158.0,72474.0,70257.0,70512.0,67342.0,4
9304,IND,ÁSIA E OCEÂNIA,ÍNDIA,1665.0,1648.0,1631.0,1637.0,1630.0,1623.0,34203.0,27610.0,24320.0,19271.0,2
9305,IRN,ÁSIA E OCEÂNIA,IRÃO (República Islâmica do),3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,7.0,1
9307,JPN,ÁSIA E OCEÂNIA,JAPÃO,48.0,53.0,49.0,54.0,60.0,61.0,236.0,267.0,275.0,285.0,1
9308,PAK,ÁSIA E OCEÂNIA,PAQUISTÃO,13.0,12.0,12.0,12.0,11.0,8.0,24.0,22.0,22.0,24.0,1
9310,THA,ÁSIA E OCEÂNIA,TAILÂNDIA,6.0,6.0,6.0,27.0,20.0,14.0,107.0,126.0,158.0,175.0,1
9312,AUS,ÁSIA E OCEÂNIA,AUSTRÁLIA,1553.0,1564.0,1727.0,2003.0,1982.0,1929.0,8353.0,8126.0,8129.0,7649.0,2
9322,IDN,ÁSIA E OCEÂNIA,INDONÉSIA,3.0,3.0,1.0,2.0,3.0,5.0,101.0,113.0,109.0,105.0,1
9323,ISR,ÁSIA E OCEÂNIA,ISRAEL,14.0,17.0,15.0,41.0,36.0,34.0,787.0,1430.0,2004.0,7002.0,1
9333,SGP,ÁSIA E OCEÂNIA,SINGAPURA,16.0,18.0,34.0,62.0,68.0,67.0,309.0,388.0,426.0,459.0,1
9336,PRK,ÁSIA E OCEÂNIA,COREIA (República da),10.0,7.0,6.0,11.0,7.0,6.0,21.0,22.0,28.0,50.0,1
9341,TLS,ÁSIA E OCEÂNIA,TIMOR-LESTE,247.0,181.0,225.0,281.0,208.0,153.0,876.0,948.0,949.0,944.0,1
9344,ARE,ÁSIA E OCEÂNIA,EMIRADOS ÁRABES UNIDOS,4.0,7.0,8.0,96.0,104.0,99.0,2295.0,2708.0,2678.0,2665.0,1
9349,QAT,ÁSIA E OCEÂNIA,CATAR,0.0,0.0,0.0,59.0,54.0,48.0,480.0,533.0,533.0,496.0,1
9353,KAZ,ÁSIA E OCEÂNIA,CAZAQUISTÃO,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,7.0,1
