MAI_code,ISO_code,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
921001,URY,AMÉRICA,URUGUAI,MONTEVIDEU,617.0,621.0,624.0,649.0,653.0,649.0,1135.0,1329.0,1353.0,1304.0
921101,VEN,AMÉRICA,VENEZUELA (República Bolivariana da),CARACAS,5918.0,7117.0,7652.0,9303.0,9422.0,8936.0,37516.0,34205.0,33991.0,34268.0
921102,VEN,AMÉRICA,VENEZUELA (República Bolivariana da),VALÊNCIA,7870.0,8253.0,8831.0,10548.0,10606.0,10338.0,17489.0,18162.0,18751.0,19418.0
921601,CHL,AMÉRICA,CHILE,SANTIAGO DO CHILE,22.0,24.0,30.0,78.0,80.0,70.0,435.0,807.0,967.0,1320.0
930101,SAU,ÁSIA E OCEÂNIA,ARÁBIA SAUDITA,RIYADH,22.0,20.0,23.0,49.0,49.0,44.0,278.0,284.0,267.0,328.0
930201,CHN,ÁSIA E OCEÂNIA,CHINA,PEQUIM,19.0,11.0,9.0,20.0,24.0,21.0,184.0,189.0,177.0,162.0
930203,CHN,ÁSIA E OCEÂNIA,CHINA,MACAU,11011.0,10969.0,10971.0,15977.0,16158.0,16085.0,72101.0,69848.0,70106.0,66954.0
930204,CHN,ÁSIA E OCEÂNIA,CHINA,XANGAI,41.0,47.0,50.0,63.0,56.0,52.0,155.0,171.0,171.0,154.0
930401,IND,ÁSIA E OCEÂNIA,ÍNDIA,NOVA DELHI,13.0,13.0,12.0,5.0,4.0,9.0,495.0,408.0,409.0,404.0
930402,IND,ÁSIA E OCEÂNIA,ÍNDIA,GOA,1652.0,1635.0,1619.0,1632.0,1626.0,1614.0,33708.0,27202.0,23911.0,18867.0
930501,IRN,ÁSIA E OCEÂNIA,IRÃO (República Islâmica do),TEERÃO,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,7.0
930701,JPN,ÁSIA E OCEÂNIA,JAPÃO,TÓQUIO,48.0,53.0,49.0,54.0,60.0,61.0,236.0,267.0,275.0,285.0
930801,PAK,ÁSIA E OCEÂNIA,PAQUISTÃO,ISLAMABAD,13.0,12.0,12.0,12.0,11.0,8.0,24.0,22.0,22.0,24.0
931001,THA,ÁSIA E OCEÂNIA,TAILÂNDIA,BANGUECOQUE,6.0,6.0,6.0,27.0,20.0,14.0,107.0,126.0,158.0,175.0
931201,AUS,ÁSIA E OCEÂNIA,AUSTRÁLIA,CAMBERRA,33.0,33.0,37.0,51.0,59.0,59.0,189.0,192.0,194.0,188.0
931202,AUS,ÁSIA E OCEÂNIA,AUSTRÁLIA,SIDNEY,1520.0,1531.0,1690.0,1952.0,1923.0,1870.0,8164.0,7934.0,7935.0,7461.0
932201,IDN,ÁSIA E OCEÂNIA,INDONÉSIA,JACARTA,3.0,3.0,1.0,2.0,3.0,5.0,101.0,113.0,109.0,105.0
932301,ISR,ÁSIA E OCEÂNIA,ISRAEL,TEL-AVIV,14.0,17.0,15.0,41.0,36.0,34.0,787.0,1430.0,2004.0,7002.0
933301,SGP,ÁSIA E OCEÂNIA,SINGAPURA,SINGAPURA,16.0,18.0,34.0,62.0,68.0,67.0,309.0,388.0,426.0,459.0
933601,PRK,ÁSIA E OCEÂNIA,COREIA (República da),SEUL,10.0,7.0,6.0,11.0,7.0,6.0,21.0,22.0,28.0,50.0
934101,TLS,ÁSIA E OCEÂNIA,TIMOR-LESTE,DILI,247.0,181.0,225.0,281.0,208.0,153.0,876.0,948.0,949.0,944.0
934401,ARE,ÁSIA E OCEÂNIA,EMIRADOS ÁRABES UNIDOS,ABU DHABI,4.0,7.0,8.0,96.0,104.0,99.0,2295.0,2708.0,2678.0,2665.0
812401,AND,EUROPA,ANDORRA,ANDORRA,,875.0,1168.0,1533.0,2094.0,2275.0,6770.0,7206.0,7557.0,7808.0
912901,GNQ,ÁFRICA,GUINÉ EQUATORIAL,MALABO,,,,5.0,5.0,3.0,28.0,22.0,16.0,11.0
934901,QAT,ÁSIA E OCEÂNIA,CATAR,DOHA,,,,59.0,54.0,48.0,480.0,533.0,533.0,496.0
922801,PAN,AMÉRICA,PANAMÁ,PANAMÁ,,,,,45.0,42.0,556.0,929.0,1145.0,1497.0
924301,ABW,AMÉRICA,ARUBA,ARUBA,,,,,,24.0,61.0,,,
924401,NLD,AMÉRICA,CURAÇAU,CURAÇAU,,,,,,164.0,224.0,,,
915301,ETH,ÁFRICA,ETIÓPIA,ADDIS ABEBA,,,,,,,20.0,20.0,19.0,20.0
930205,CHN,ÁSIA E OCEÂNIA,CHINA,CANTÃO,,,,,,,34.0,49.0,58.0,72.0
935301,KAZ,ÁSIA E OCEÂNIA,CAZAQUISTÃO,ASTANA,,,,,,,13.0,13.0,8.0,7.0
814402,SVK,EUROPA,ESLOVÁQUIA,ESLOVÁQUIA,,,,,,,,,,114.0
